id,raw_id,name,lon,lat,x,y,adname
station:BV10039979,BV10039979,新江湾城(地铁站),121.50253653517446,31.330495132646387,13525600.495303959,3675745.0185409854,杨浦区
station:BV10039978,BV10039978,殷高东路(地铁站),121.50238255229876,31.323769131531865,13525583.354008649,3674868.497970112,杨浦区
station:BV10039930,BV10039930,江浦公园(地铁站),121.51934671194226,31.26664304507819,13527471.795621635,3667426.4497170844,杨浦区
station:BV10039911,BV10039911,江浦路(地铁站),121.5140096227992,31.27699962293132,13526877.673575995,3668775.308707292,杨浦区
station:BV10039976,BV10039976,江湾体育场(地铁站),121.50892435390088,31.306320067395266,13526311.584031768,3672594.8586765598,杨浦区
station:BV10039927,BV10039927,爱国路(地铁站),121.54838888879294,31.28192417131564,13530704.755959732,3669416.74254035,杨浦区
station:BV10030219,BV10030219,翔殷路(地铁站),121.5276474182383,31.307080766580675,13528395.826019607,3672693.9701434304,杨浦区
station:BV10039928,BV10039928,隆昌路(地铁站),121.54040565008066,31.27733449813309,13529816.065891523,3668818.9259166336,杨浦区
station:BV10033521,BV10033521,鞍山新村(地铁站),121.50528504811038,31.27527092513032,13525906.458364384,3668550.149756509,杨浦区
station:BV10039908,BV10039908,黄兴公园(地铁站),121.52906166137677,31.297475170767346,13528553.258845618,3671442.5161836394,杨浦区
station:BV10039910,BV10039910,黄兴路(地铁站),121.52406512752248,31.28089386359941,13527997.047241304,3669282.5398032437,杨浦区
station:BV09334322,BV09334322,上海松江站(地铁站),121.22647347952763,30.986967437923486,13494869.296526797,3631056.7322448418,松江区
station:BV10039875,BV10039875,九亭(地铁站),121.31490762066534,31.139242321669723,13504713.740085619,3650845.642519765,松江区
station:BV10035054,BV10035054,佘山(地铁站),121.2252645950679,31.106176787621184,13494734.724124331,3646545.9104078864,松江区
station:BV09064134,BV09064134,刘五公路(地铁站),121.2444501868418,31.09236191640493,13496870.454430874,3644749.9140032046,松江区
station:BV09357271,BV09357271,千帆路(地铁站),121.31996899855534,31.094261337098104,13505277.170094967,3644996.8318880224,松江区
station:BV09357272,BV09357272,同乐路(地铁站),121.2645727368983,31.094784510514145,13499110.486456312,3645064.843424813,松江区
station:BV09064131,BV09064131,场东路(地铁站),121.35311110658736,31.10169995693365,13508966.532684395,3645963.873344734,松江区
station:BV09064130,BV09064130,场西路(地铁站),121.33529726833264,31.09526756456281,13506983.50528108,3645127.6398536516,松江区
station:BV10039873,BV10039873,松江体育中心(地铁站),121.22613262625333,31.018136823204475,13494831.352913873,3635104.7786873593,松江区
station:BV10027922,BV10027922,松江大学城(地铁站),121.228161771207,31.056094100121694,13495057.23629683,3640036.174274095,松江区
